koushu-handan 全台詞
版 v1352 / 本体から機械的に書き出したもの（レビュー用・本体は未変更）
各行は  行番号 ｜ 話者 ｜ 鍵の道筋 ｜ 本文
行番号は台詞そのものが書かれている行。{n} は実行時に名前が入る。
==============================================================================

■ TONE_WORDS　［判定カード］　2862行〜
   出る条件 : 攻守の一言。人柄チップで選んだ人柄の言葉。方言チップが入ると DIALECT_WORDS が優先
------------------------------------------------------------------------------
   2863 ｜ 執事　　　 ｜ 執事(butler) / 攻め(a) ｜ 攻めるべき局面でございます
   2863 ｜ 執事　　　 ｜ 執事(butler) / 攻め(a) ｜ ここは攻めに出るのがよろしいかと、ご進言申し上げます
   2863 ｜ 執事　　　 ｜ 執事(butler) / 攻め(a) ｜ 前へ。それが最善の一手かと存じます
   2863 ｜ 執事　　　 ｜ 執事(butler) / 守り(d) ｜ ここは一歩退かれませ。守りもまた、立派な一手にございます
   2863 ｜ 執事　　　 ｜ 執事(butler) / 守り(d) ｜ 無理に押さず、引く。それが賢明なご判断かと存じます
   2863 ｜ 執事　　　 ｜ 執事(butler) / 守り(d) ｜ 退き際の見極めこそ、上手の証。ここはお引きくださいませ
   2863 ｜ 執事　　　 ｜ 執事(butler) / 守り(d) ｜ 損ねを最小に押さえるのも勝ちへの道。引くが賢明かと
   2863 ｜ 執事　　　 ｜ 執事(butler) / 守り(d) ｜ この配牌、追わずが得策。機を待つのも、また戦略にございます
   2863 ｜ 執事　　　 ｜ 執事(butler) / ae ｜ 際どい局面にございます。されど、ここは攻めるが上策かと。退いて悔いを残すより、前へ進まれませ。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ae ｜ きわどうございます。なれど、この手なら攻めが利かと。放銃の憂いより、和了の益が勝りますればこそ。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ae ｜ お客様、ここが正念場にございます。執事、攻めをお勧め申し上げます。どうか、前へ。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ae ｜ 迷うことはございません。攻めるが最善、執事が請け合いますればこそ。前へ、ひとつ。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ae ｜ ふむ、際どいところにございますが……こういう手ほど、攻めるが華にございます。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ed ｜ 危うい配牌にございますな。ここはひとまず退かれませ。無理は禁物、機を待つもまた一手にございます。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ed ｜ 危のうございます。押せば損の勝る局面、ここはお退きくださいませ。引くも立派な一手かと。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ed ｜ お客様、ここは堪えどきにございます。執事、伏してお願い申し上げます。どうか、お引きを。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ed ｜ 迷わず退かれませ。守るが最善、執事が請け合います。損ねを抑えるが上手の証にございます。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ed ｜ ふむ、危ういところにございますが……こういう手は、退いて構えるが得策にございます。
   2863 ｜ 執事　　　 ｜ 執事(butler) / ph ｜ これは……役満が見えておりますぞ。千載一遇の好機、何としても物にされませ。
